image,name,price,tags,neighborhood,street,city,state,zip,phone
http://s3-media4.fl.yelpcdn.com/bphoto/qisvl5A5wVOWotYtlhqJbQ/90s.jpg,Ora,$$,"Sushi Bars, Japanese","Andersonville, Uptown",5143 N Clark St,Chicago,IL,60640,(773) 506-2978
http://s3-media2.fl.yelpcdn.com/bphoto/BHJUiQSdpcVr4zfEdYhX_g/90s.jpg,Owen & Engine,$$,"Gastropubs, British","Logan Square, Bucktown",2700 N Western Ave,Chicago,IL,60647,(773) 235-2930
http://s3-media4.fl.yelpcdn.com/bphoto/d4XFI3zpvn0zVRtoONJegw/90s.jpg,Parrilla Express,$,Burgers,,6401 W 34th St,Berwyn,IL,60402,(708) 628-4226
http://s3-media4.fl.yelpcdn.com/bphoto/5lvsnn-gQqrpxV5GxQ86WA/90s.jpg,Patinos Grill,$,American (Traditional),Irving Park,2943 W Irving Park Rd,Chicago,IL,60618,(773) 280-9562
http://s3-media3.fl.yelpcdn.com/bphoto/4gqGUz7JgF3-IkQcXmNwYg/90s.jpg,Pi-Hi Cafe,$,"Mediterranean, Pizza",Roscoe Village,3539 N Western Ave,Chicago,IL,60618,(773) 472-7444
http://s3-media2.fl.yelpcdn.com/bphoto/WirfYN_gDOU2Y2NLz97s_A/90s.jpg,Pizzeria Del Mercato,$$,"Pizza, Italian","Near West Side, West Loop",1154 W Fulton Market,Chicago,IL,60607,(312) 226-6898
http://s3-media3.fl.yelpcdn.com/bphoto/aZbLezfbiG3Z3N9XofMCKg/90s.jpg,Pollo Express,$,Mexican,Pilsen,1315 W 18th St,Chicago,IL,60608,(312) 829-1550
http://s3-media4.fl.yelpcdn.com/bphoto/RClfxHX4hk1MmGjPBJgqBg/90s.jpg,Pueblo Nuevo,$,Mexican,Portage Park,4342 N Central Ave,Chicago,IL,60634,(773) 283-8058
http://s3-media1.fl.yelpcdn.com/bphoto/JHxp3QtismVOzz6mmI6kEQ/90s.jpg,Siena Tavern,$$$,"Italian, American (New), Pizza",Near North Side,51 W Kinzie St,Chicago,IL,60654,(312) 595-1322
http://s3-media2.fl.yelpcdn.com/bphoto/vyGLSa_qwM446QZ-wbFcHw/90s.jpg,Slims,$,Sandwiches,Ravenswood,2020 W Montrose Ave,Chicago,IL,60618,(224) 265-0143
http://s3-media3.fl.yelpcdn.com/bphoto/JfBflp9xBPO0QEHXMjs_lQ/90s.jpg,South Coast Sushi,$$$,"Sushi Bars, Japanese",Near Southside,1700 S Michigan Ave,Chicago,IL,60616,(312) 662-1700
http://s3-media4.fl.yelpcdn.com/bphoto/dz7QBwwycIkkVN8t7JgylA/90s.jpg,Sumo Sushi & Hibachi Grill,$$,"Sushi Bars, Japanese",Lakeview,2936 N Broadway,Chicago,IL,60657,(773) 477-8510
http://s3-media1.fl.yelpcdn.com/bphoto/KXwqDUNKWG-mrvLu2PRgvA/90s.jpg,The Bad Apple,$$,"Bars, Burgers",North Center,4300 N Lincoln Ave,Chicago,IL,60618,(773) 360-8406
http://s3-media2.fl.yelpcdn.com/bphoto/Lv-IsWTnpouDTIKWSmGvjw/90s.jpg,The Gage,$$$,"Irish, Gastropubs, American (New)",The Loop,24 S Michigan Ave,Chicago,IL,60603,(312) 372-4243
http://s3-media4.fl.yelpcdn.com/bphoto/4s8d7DbRJqFfU6_w-klu_Q/90s.jpg,Toro Sushi,$$,Sushi Bars,Lincoln Park,2546 N Clark St,Chicago,IL,60614,(773) 348-7255
http://s3-media2.fl.yelpcdn.com/bphoto/_aA25NLUTW9_Uii8nbEcEg/90s.jpg,Torta Haus,$,"Mexican, Cuban",,926 W Diversey Pkwy,Chicago,IL,60614,(773) 880-8052
http://s3-media2.fl.yelpcdn.com/bphoto/wU6RSG_Cp9oqk8eNsI49Bw/90s.jpg,Tortorices Pizza,$$,"Italian, Pizza, Gelato","West Town, Ukrainian Village",1746 W Grand Ave,Chicago,IL,60622,(312) 243-4444
http://s3-media1.fl.yelpcdn.com/bphoto/Fbe1Etkh1bac8HXlgbquwA/90s.jpg,Twin Anchors Restaurant & Tavern,$$,"American (Traditional), Barbeque",Lincoln Park,1655 N Sedgwick St,Chicago,IL,60614,(312) 266-1616
http://s3-media2.fl.yelpcdn.com/bphoto/NlQMmSn1nlPg88VSctgYvg/90s.jpg,UB Dogs,$,Hot Dogs,The Loop,185 N Franklin St,Chicago,IL,60606,(312) 251-7009
http://s3-media2.fl.yelpcdn.com/bphoto/jn3JXGgxr0eym1alrjcXAw/90s.jpg,VPT,$$,"Pizza, Burgers, Mexican",West Rogers Park,5754 N Western Ave,Chicago,IL,60659,(773) 274-7018
http://s3-media2.fl.yelpcdn.com/bphoto/XKKEnNY21K9CTETSxxCyRQ/90s.jpg,Yuzu Sushi & Robata Grill,$$,"Japanese, Sushi Bars","West Town, Ukrainian Village",1751 W Chicago Ave,Chicago,IL,60622,(312) 666-4100
